Question,Answer,IncorrectOne,IncorrectTwo,IncorrectThree,IncorrectFour
"What is the capital of France?","Paris","London","Berlin","Madrid","Rome"
"What is the largest planet in our solar system?","Jupiter","Saturn","Neptune","Earth","Mars"
"Who painted the Mona Lisa?","Leonardo da Vinci","Pablo Picasso","Vincent van Gogh","Michelangelo","Claude Monet"
"What is the chemical symbol for gold?","Au","Ag","Fe","Pb","Hg"
"In what year did World War II end?","1945","1939","1941","1943","1950"
"What is the tallest mountain in the world?","Mount Everest","K2","Kangchenjunga","Lhotse","Makalu"
"Which country is home to the kangaroo?","Australia","New Zealand","South Africa","Brazil","Indonesia"
"What is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean","Southern Ocean"
"Who wrote 'Romeo and Juliet'?","William Shakespeare","Charles Dickens","Jane Austen","Mark Twain","Leo Tolstoy"
"What is the main component of the Sun?","Hydrogen","Helium","Oxygen","Carbon","Nitrogen"
